Provider,PotentialFraud,n_inpt_claims,n_inpt_bene,inpt_total_reimb,inpt_mean_reimb,inpt_max_reimb,inpt_min_reimb,n_outpt_claims,n_outpt_bene,outpt_total_reimb,outpt_mean_reimb,outpt_max_reimb,outpt_min_reimb,claims_total,bene_total,inpt_outpt_claim_ratio,avg_gender,avg_months_partA,avg_months_partB,avg_IP_annual_reimb,avg_OP_annual_reimb,avg_IP_annual_deduct,avg_OP_annual_deduct,ChronicCond_Alzheimer_rate,ChronicCond_Heartfailure_rate,ChronicCond_KidneyDisease_rate,ChronicCond_Cancer_rate,ChronicCond_ObstrPulmonary_rate,ChronicCond_Depression_rate,ChronicCond_Diabetes_rate,ChronicCond_IschemicHeart_rate,ChronicCond_Osteoporasis_rate,ChronicCond_rheumatoidarthritis_rate,ChronicCond_stroke_rate
PRV51055,No,2.0,2.0,16700.0,8350.0,16000.0,700.0,2.0,2.0,70.0,35.0,60.0,10.0,4.0,4.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51056,No,2.0,2.0,8000.0,4000.0,5000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,12.0,12.0,9000.0,1370.0,2136.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
PRV51057,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51058,No,5.0,5.0,91000.0,18200.0,57000.0,5000.0,1.0,1.0,50.0,50.0,50.0,50.0,6.0,6.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51059,Yes,25.0,23.0,401000.0,16040.0,57000.0,3000.0,1.0,1.0,30.0,30.0,30.0,30.0,26.0,24.0,12.5,1.8571428571428572,10.285714285714286,12.0,16894.285714285714,1567.142857142857,1983.4285714285713,482.85714285714283,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.7142857142857143,1.0,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.14285714285714285
PRV51060,No,5.0,5.0,35000.0,7000.0,14000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,12.0,12.0,22000.0,2440.0,3204.0,1180.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PRV51061,No,1.0,1.0,3000.0,3000.0,3000.0,3000.0,5.0,5.0,3640.0,728.0,3300.0,60.0,6.0,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51062,No,3.0,3.0,45000.0,15000.0,25000.0,4000.0,3.0,2.0,190.0,63.333333333333336,90.0,50.0,6.0,5.0,0.75,2.0,12.0,12.0,35070.0,440.0,2136.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PRV51063,No,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2590.0,863.3333333333334,2500.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51064,Yes,36.0,34.0,280000.0,7777.777777777777,37000.0,0.0,9.0,8.0,3710.0,412.22222222222223,2000.0,0.0,45.0,42.0,3.6,1.25,12.0,12.0,13002.5,1585.0,1335.0,490.0,0.75,0.75,0.25,0.25,0.75,0.5,1.0,0.5,0.75,0.5,0.25
PRV51065,No,10.0,10.0,75000.0,7500.0,11000.0,3000.0,1.0,1.0,10.0,10.0,10.0,10.0,11.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51066,No,2.0,2.0,19000.0,9500.0,15000.0,4000.0,3.0,2.0,190.0,63.333333333333336,80.0,50.0,5.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51067,Yes,12.0,11.0,326000.0,27166.666666666668,83000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,12.0,1.6666666666666667,12.0,12.0,39403.333333333336,2353.3333333333335,1780.0,290.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0
PRV51068,No,9.0,9.0,77000.0,8555.555555555555,19000.0,2000.0,9.0,7.0,3430.0,381.1111111111111,1700.0,20.0,18.0,16.0,0.9,1.6666666666666667,12.0,12.0,14106.666666666666,3136.6666666666665,1780.0,1176.6666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333
PRV51070,No,10.0,10.0,101000.0,10100.0,22000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,12.0,12.0,29000.0,14600.0,2136.0,3070.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
PRV51071,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51072,No,12.0,12.0,72000.0,6000.0,14000.0,3000.0,6.0,3.0,250.0,41.666666666666664,100.0,0.0,18.0,15.0,1.7142857142857142,1.5,12.0,12.0,13030.0,695.0,1068.0,160.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5
PRV51074,No,5.0,5.0,31000.0,6200.0,15000.0,3000.0,1.0,1.0,200.0,200.0,200.0,200.0,6.0,6.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51075,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51076,No,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1300.0,650.0,1100.0,200.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51077,Yes,16.0,13.0,199000.0,12437.5,56000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,16.0,1.5,12.0,12.0,7010.0,3425.0,1602.0,220.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.5
PRV51078,No,9.0,9.0,76000.0,8444.444444444445,16000.0,3000.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,4.5,1.3333333333333333,12.0,12.0,11666.666666666666,436.6666666666667,1424.0,153.33333333333334,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333
PRV51081,No,6.0,6.0,79000.0,13166.666666666666,48000.0,3000.0,10.0,5.0,430.0,43.0,100.0,0.0,16.0,11.0,0.5454545454545454,1.0,12.0,12.0,7240.0,230.0,1068.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PRV51082,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51083,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51084,Yes,20.0,19.0,191000.0,9550.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,20.0,2.0,12.0,12.0,16333.333333333334,1146.6666666666667,1068.0,786.6666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
PRV51086,No,31.0,30.0,413000.0,13322.58064516129,57000.0,0.0,2.0,2.0,110.0,55.0,100.0,10.0,33.0,32.0,10.333333333333334,1.1666666666666667,12.0,12.0,31686.666666666668,583.3333333333334,1958.0,171.66666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.5,0.8333333333333334,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
PRV51089,No,18.0,18.0,177000.0,9833.333333333334,41000.0,0.0,3.0,3.0,2100.0,700.0,2000.0,0.0,21.0,21.0,4.5,1.4,12.0,12.0,24832.0,2364.0,1922.4,972.0,0.4,0.8,0.8,0.0,0.4,0.4,1.0,1.0,0.4,0.4,0.0
PRV51090,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51091,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,40.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51093,No,2.0,2.0,11000.0,5500.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51096,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51097,No,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,130.0,65.0,100.0,30.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51098,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51100,No,5.0,5.0,78000.0,15600.0,33000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51101,No,3.0,3.0,16600.0,5533.333333333333,13000.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,12.0,12.0,13000.0,0.0,1068.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRV51102,No,12.0,11.0,148000.0,12333.333333333334,47000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,12.0,1.25,12.0,12.0,13750.0,600.0,1602.0,105.0,0.5,0.5,0.75,0.25,0.0,0.25,0.5,0.75,0.0,0.5,0.25
PRV51103,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51104,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51105,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51108,No,19.0,19.0,156000.0,8210.526315789473,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,1.75,12.0,12.0,10817.5,2215.0,4352.0,620.0,1.0,0.5,0.25,0.25,0.75,0.5,1.0,0.75,0.5,0.5,0.25
PRV51109,No,3.0,3.0,18000.0,6000.0,8000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51110,No,5.0,5.0,27000.0,5400.0,9000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51111,No,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,390.0,97.5,300.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51112,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,90.0,90.0,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51113,No,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,940.0,470.0,900.0,40.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51114,No,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,930.0,155.0,400.0,60.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
